Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fredericksburg PD ,24286,10853.98,2636,0,11,11,24,20,71,755,1,0,119,936,31,28,186,25,20,386,329,1,1,0,5,0,25
State Police ,,,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0
Galax PD ,7042,9869.35,695,0,1,3,6,2,20,217,0,0,42,245,11,17,49,2,4,116,55,0,1,0,0,1,12
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Hampton PD ,137436,8093.22,11123,14,28,29,64,176,177,2294,24,2,746,4253,355,163,490,161,24,2356,806,3,8,0,1,0,381
State Police ,,,109,0,0,0,0,0,2,1,0,0,0,1,1,1,56,0,0,0,46,0,0,0,0,0,7
Harrisonburg PD ,48914,4929.05,2411,1,17,11,19,13,67,443,11,1,139,910,36,53,160,16,9,568,299,1,6,0,2,0,45
State Police ,,,232,0,0,1,1,0,0,1,0,0,0,4,0,0,5,0,1,0,222,0,0,0,0,0,8
Hopewell PD ,22591,11619.67,2625,2,18,9,22,56,141,779,7,0,280,711,95,37,127,12,8,458,276,0,1,0,2,0,28
State Police ,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0
Lexington PD ,7042,1491.05,105,0,0,0,2,1,2,12,0,0,7,35,3,1,6,1,0,25,15,0,0,0,0,0,2
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lynchburg PD ,75568,8577.7,6482,4,30,26,59,75,218,2103,16,0,416,2087,95,63,299,36,33,1054,971,2,2,3,11,0,147
State Police ,,,24,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,9,0,0,0,0,0,0
Manassas PD ,37821,7175.9,2714,1,28,14,31,54,66,817,6,4,124,834,76,49,196,6,4,529,211,5,11,0,14,0,33
State Police ,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Manassas Park PD ,14273,4042.59,577,0,2,7,12,6,5,169,0,0,14,176,14,1,18,0,5,115,94,0,0,0,1,0,12
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD ,13821,8783.73,1214,3,0,6,7,13,17,280,4,0,71,365,13,21,55,7,1,257,122,0,0,0,0,0,19
State Police ,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,13,0,0,0,0,0,0
Newport News PD ,180719,9427.89,17038,20,69,84,104,368,487,4096,93,12,1242,4941,428,275,817,69,48,3255,1922,5,3,2,86,1,1032
State Police ,,,71,0,0,0,0,0,2,1,0,0,0,2,6,0,34,0,0,0,29,0,0,0,1,0,2
Norfolk PD ,242803,10690.55,25957,34,47,90,161,598,728,5354,50,7,2117,10149,905,183,671,48,38,4491,920,1,6,0,227,2,153
State Police ,,,101,0,0,0,0,0,5,0,0,0,0,3,5,1,61,0,0,1,26,0,0,0,0,0,3
Norton PD ,3958,10333.5,409,0,0,0,1,0,5,84,3,0,9,227,5,20,23,6,0,48,53,1,0,0,0,0,4
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,32420,10876,3526,12,5,6,15,63,113,690,6,1,433,936,131,47,102,15,11,705,396,1,1,0,5,0,107
State Police ,,,43,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,38,0,0,0,0,0,0
Poquoson PD ,12150,3679.01,447,0,2,0,6,0,7,140,1,0,20,106,9,24,38,0,2,108,51,0,0,0,0,0,6
State Police ,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Portsmouth PD ,95535,11974.66,11440,14,50,17,24,265,318,2830,24,4,1273,4050,256,88,584,68,49,2780,711,5,5,3,12,2,239
State Police ,,,30,0,0,0,0,0,1,0,0,0,0,1,0,0,20,0,0,0,8,0,0,0,0,0,1
Radford PD ,16408,7910.77,1298,1,4,6,11,7,51,268,5,2,103,345,15,41,109,1,5,244,279,0,6,0,0,0,18
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Richmond PD ,204214,10655.97,21761,41,84,40,98,735,698,4832,43,7,1770,5952,865,395,798,54,50,3715,2374,4,22,3,140,0,660
State Police ,,,129,0,0,0,0,0,4,2,0,0,0,5,4,2,13,0,2,2,108,0,0,0,0,0,7
Roanoke PD ,97032,13747.01,13339,9,35,27,55,176,471,4887,33,2,888,3661,244,201,489,74,10,2027,1422,7,13,0,47,0,269
State Police ,,,72,0,0,0,0,0,0,1,0,0,0,1,0,0,15,1,0,0,54,0,0,0,0,0,1
Salem PD ,24802,6475.28,1606,1,6,6,3,6,21,382,3,0,90,572,31,58,86,18,11,321,239,0,4,0,1,0,30
State Police ,,,11,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,4,0,0,0,0,0,0
Staunton PD ,23746,6742.18,1601,0,9,4,15,4,24,330,12,1,58,465,10,65,164,12,23,266,173,1,6,0,2,0,40
State Police ,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Suffolk PD ,84585,6564.99,5553,3,27,18,63,80,164,1878,21,2,391,1588,102,75,197,28,14,1015,460,0,2,0,1,0,120
State Police ,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1
Virginia Beach PD ,437994,6239.81,27330,14,47,55,146,425,329,6376,133,18,2081,10469,645,324,1301,231,57,3988,2297,12,21,27,33,3,538
State Police ,,,119,0,0,0,0,0,2,1,0,0,1,2,5,3,57,0,0,0,44,0,0,0,0,0,6
Waynesboro PD ,21006,7550.22,1586,2,5,8,13,19,42,503,8,1,103,533,24,36,97,14,3,300,126,0,1,0,0,0,37
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Williamsburg PD ,14068,4421.38,622,1,8,1,11,6,10,161,0,3,35,223,8,13,23,5,4,117,56,1,2,0,2,0,7
State Police ,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,15,0,0,0,0,0,0
Winchester PD ,26203,9624.85,2522,0,20,8,34,20,28,636,1,0,148,979,23,38,162,16,23,422,411,1,2,0,2,0,44
State Police ,,,197,0,0,0,0,1,0,3,0,0,0,2,0,0,4,0,0,3,186,1,0,0,0,0,2
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
